PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,TRIMBSBUD,TRIMBSFLOW,TRIMBSDONE,TRIMBS NOflow,DEAD STEMS,Length St1,LengthSt2,LengthSt3,Buds St 1,Buds St 2,Buds St 3,Flow St 1,Flow St 2,Flow St 3,BlooStatus St 1,BlooStatus St 2,BlooStatus St 3,Comments2,Comments 3,Ascl within 1 m?,Ascl within 2 m,Grazing lawn?,Shrubs within 1 m?,Bflies nectaring?,Monarch immatures2?,Crab spiders?,Other insects?,Comments 4,Bitten St 1,Bitten St 2,Bitten St 3,total # bitten stems,# of bitten stems flower this year,# bitten stems w axillary,# of UNbit stems w axillary,# of axillary shoots,# of BITTEN Axillary shoots,Comments 5,Comments 6,Photo Exposure,Comments 7,Comments 8
3029,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,G,307,PYSW1_2013_009,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,G,307,PYSW1003,0,9,0,0,,,,,,,,,,,,,,,crab spider on this plant,,,,,,,,,,,,,,,,,,,,,,,
3034,G,307,,,,,,,,,,,,,,,,,,,all 3 stems run over by truck,,,,,,,,,,,,,,,,,,,,,,,,
3035,G,307,,,,,,,,,,,,,,,,,,,2 stems in bud,,,,,,,,,,,,,,,,,,,,,,,,
3036,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,G,307,,,,,,,,,,,,,,,,,,,great spangled fritillary nectaring,,,,,,,,,,,,,,,,,,,,,,,,
3053,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,G,307,PYSW1012,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,H,308,PYWS1002,1,0,0,0,,,,,,,,,,,,,,,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,,,,,,,,,,,,,,,,
3064,H,308,PYWS1001,1,0,0,0,,,,,,,,,,,,,,,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,,,,,,,,,,,,,,,,
3065,I,309,none (new in 2013),0,1,0,0,,,,,,,,,,,,,,,not trimbled in 2012,,,,,,,,,,,,,,,,,,,,,,,
3066,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,I,309,PYWS2007,0,9,0,1,,,,,,,,,,,,,,great spangled visiting,"1 stem bitten off 4"" from ground, with no resprouts",,,,,,,,,,,,,,,,,,,,Photos from 2012 are exp. 136-137,359 (whole plant),,
3073,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,I,309,PYWS2002,2,1,0,1,,,,,,,,,,,,,,pearl crescent visiting,plant injured by large ungulate,,,,,,,,,,,,,,,,,,,,,,,
3075,I,309,PYWS2014,2,7,0,0,,,,,,,,,,,,,,pearl crescent visiting,,,,,,,,,,,,,,,,,,,,,,,,
3076,I,309,none (new in 2013),0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't know if plant was trimbled in 2012,,,
3077,I,309,n.a.,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,don't know if plant was trimbled in 2012,,,
3078,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,I,309,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,I,309,PYWS2010,2,3,0,0,,,,,,,,,,,,,,,took photos of Edwards hairstreak nectaring on this plant;,,,,,,,,,,,,,,,,,,,," found 1 monarch egg and 2 milkweed bugs on this plant, and 1 nectaring pearl crescent",???,,
3081,J,310,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,J,310,PYSW2001,0,9,0,0,,,,,,,,,,,,,,some stems knocked over by large ungulate,,,,,,,,,,,,,,,,,,,,,,,,
3083,J,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,J,310,accidental row,,,,,,,,,,,,,,,,,,accidental row," nectared on by 1 regal fritillary, 1 Edward's hairstreak and 2 pearl crescents",,,,,,,,,,,,,,,,,,,,,,,
3085,J,310,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,J,310,PYSW2002,2,1,0,0,,,,,,,,,,,,,,"***This plant actually located in SOUTH patch of Pyland South, though very close to PYS West patch; ~30 flowers/buds had been bitten off by caterpillar",,,,,,,,,,,,,,,,,,,,,,,,
3087,K,311,PYSS1001,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,L,312,PYSS2003,2,1,0,0,,,,,,,,,,,,,,buds are red,,,,,,,,,,,,,,,,,,,,,,,,
3091,L,312,PYSS2001,1,0,0,0,,,,,,,,,,,,,,"signs of herbivory; only 5 buds remain, rest have been eaten, probably by insect",,,,,,,,,,,,,,,,,,,,,,,,
3092,L,312,PYSS2002,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,M,313,PYSS3-103,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,M,313,PYSS3-104,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,M,313,PYSS3-106,1,0,0,0,,,,,,,,,,,,,,"too early, but about 80 buds",,,,,,,,,,,,,,,,,,,,,,,,
3096,M,313,PYSS3-107,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,M,313,PYSS3-108,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,M,313,PYSS3-109,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,M,313,PYSS3-110,0,0,0,3,,,,,,,,,,,,,,,"stems are extremely short, new and tender; don't know why they aren't more developed. Found 2 dead stems from last year.",,,,,,,,,,,,,,,,,,,,,,,
3100,M,313,PYSS3-111,4,0,0,0,,,,,,,,,,,,,,,Still very early for counting buds; approx. bud counts given.,,,,,,,,,,,,,,,,,,,,,,,
3101,M,313,PYSS3-112,1,3,0,0,,,,,,,,,,,,,,,Monarch caterpillar on this plant.,,,,,,,,,,,,,,,,,,,,,,,
3102,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,N,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,N,314,PYNN1004,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132,N,314,PYNN1002,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3133,N,314,PYNN1003,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,N,314,PYNN1001,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3146,O,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3147,O,315,PYNN2001,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3148,O,315,PYNN2002,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,O,315,PYNN2003,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,O,315,PYNN2004,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,O,315,PYNN2005,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152,P,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3153,P,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,P,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3156,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3157,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3158,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3159,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3160,P,316,,,,,,,,,,,,,,,,,,,appear to be in PYN's WEST PATCH,,,,,,,,,,,,,,,,,,,,,,,,
3161,P,316,PYNS1001,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3162,P,316,PYNS1002,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3163,P,316,PYNS1003,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,Q,317,,,,,,,,,,,,,,,,,,,appears to be in PYN West patch,,,,,,,,,,,,,,,,,,,,,,,,
3165,Q,317,PYNS2001,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,Q,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,R,318,PYNW1001,2,0,0,2,,,,,,,,,,,,,,,1 stem eaten by cattle,,,,,,,,,,,,,,,,,,,,,,,
3168,R,318,PYNW1007,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3169,R,318,PYNW1002,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170,R,318,PYNW1006,1,0,0,0,,,,,,,,,,,,,,,stem is broken,,,,,,,,,,,,,,,,,,,,,,,
3171,R,318,PYNW1004,3,0,0,0,,,,,,,,,,,,,,,trampled by large vertebrate,,,,,,,,,,,,,,,,,,,,,,,
3172,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3173,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3174,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3175,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3176,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3177,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3178,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3179,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3180,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3181,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3182,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3183,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3184,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3185,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3186,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3187,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3188,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3189,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3190,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3191,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3192,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3193,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3194,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3195,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3196,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3197,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3198,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3199,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3200,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3201,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3202,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3203,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3204,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3205,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3206,S,319,,,,,,,,,,,,,,,,,,,"in NORTH patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3207,T,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,T,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3209,T,320,,,,,,,,,,,,,,,,,,,hidden behind bush,,,,,,,,,,,,,,,,,,,,,,,,
3210,T,320,,,,,,,,,,,,,,,,,,,near rim,,,,,,,,,,,,,,,,,,,,,,,,
3211,T,320,PYNW2001,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3212,T,320,PYNW2003,3,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3213,T,320,PYNW2005,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3214,T,320,PYNW2004,1,1,0,2,,,,,,,,,,,,,,,flowering stem 18 cm apart; possibly different plant,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3215,T,320,PYNW2010,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3216,T,320,PYNW2011,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3217,T,320,PYNW2006,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3218,T,320,PYNW2007,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jake and Gatha trimble data,,,
3219,U,321,,,,,,,,,,,,,,,,,,,"In North patch, viewed from West Patch",,,,,,,,,,,,,,,,,,,,,,,,
3220,U,321,,,,,,,,,,,,,,,,,,,"In North Patch, viewed from West patch",,,,,,,,,,,,,,,,,,,,,,,,
3221,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3222,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3223,V,322,PYWC1002,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3224,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3226,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3227,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,V,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
