PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,2013 Plant ID Code,2014 Plant ID Code,Sample Date if diff from TransMetadata,Trimb in 2012?,2012 Trimb Pt name,new 2014 id in trimb,VISITED PREV in 2014?,CODE FOR PREV VISIT,VISITED AGAIN IN 2014?,CODE FOR LATER VISIT,Comments2,TRIMBLED IN 2014?,which trimble?,FileName?,Northing,Easting,TRIMBSBUD,TRIMBSFLOW,TRIMBSDONE,TRIMBS NOflow,DEAD STEMS,Comments 3,Comments 3G,Ascl within 1 m?,Ascl within 2 m,Grazing lawn?,Shrubs within 1 m?,Bflies nectaring?,Monarch immatures2?,Crab spiders?,Other insects?,Comments 4,total # bitten stems,# of bitten stems flower this year,# bitten stems w axillary,# of UNbit stems w axillary,# of axillary shoots,# of BITTEN Axillary shoots,Comments 5 damage,Comments 6,Photo Exposure,Comments 12,Comments 13,Comments 14,Comments 15,Comments 16
3090,L,312,PYSS2003,PYS-S2-13-R1-001,,,yes,?,,n,,n,,buds are red,yes,,??,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,L,312,PYSS2001,PYS-S2-13-R1-002,,,yes,?,,n,,n,,"signs of herbivory; only 5 buds remain, rest have been eaten, probably by insect",yes,,?,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,L,312,PYSS2002,PYS-S2-13-R1-003,,,yes,?,,n,,n,,,yes,,?,,,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,M,313,PYSS3-103,PYS-S3-13-R1-001,,,yes,103 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,M,313,PYSS3-104,PYS-S3-13-R1-002,,,yes,104 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,M,313,PYSS3-106,PYS-S3-13-R1-003,,,yes,106  (?),,n,,?? Perhaps,,"too early, but about 80 buds",yes,,ATPYSSOPATCHLATE,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,M,313,PYSS3-107,PYS-S3-13-R1-004,,,yes,107  (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,M,313,PYSS3-108,PYS-S3-13-R1-005,,,yes,108  (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,M,313,PYSS3-109,PYS-S3-13-R1-006,,,yes,109 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,M,313,PYSS3-110,PYS-S3-13-R1-007,,,yes,110 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,0,0,0,3,,"stems are extremely short, new and tender; don't know why they aren't more developed. Found 2 dead stems from last year.",,,,,,,,,,,,,,,,,,,,,,,,
3100,M,313,PYSS3-111,PYS-S3-13-R1-008,,,yes,111 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,4,0,0,0,,Still very early for counting buds; approx. bud counts given.,,,,,,,,,,,,,,,,,,,,,,,,
3101,M,313,PYSS3-112,PYS-S3-13-R1-009,,,yes,112 (?),,n,,n,,,yes,,ATPYSSOPATCHLATE,,,1,3,0,0,,Monarch caterpillar on this plant.,,,,,,,,,,,,,,,,,,,,,,,,
3102,N,314,,PYN-N1-13-R1-001,,,no,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,N,314,,PYN-N1-13-R1-002,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,N,314,,PYN-N1-13-R1-003,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,N,314,,PYN-N1-13-R1-004,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,N,314,,PYN-N1-13-R1-005,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,N,314,,PYN-N1-13-R1-006,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,N,314,,PYN-N1-13-R1-007,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,N,314,,PYN-N1-13-R1-008,,,no,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,N,314,,PYN-N1-13-R1-009,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,N,314,,PYN-N1-13-R1-010,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,N,314,,PYN-N1-13-R1-011,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,N,314,,PYN-N1-13-R1-012,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,N,314,,PYN-N1-13-R1-013,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,N,314,,PYN-N1-13-R1-014,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,N,314,,PYN-N1-13-R1-015,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,N,314,,PYN-N1-13-R1-016,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,N,314,,PYN-N1-13-R1-017,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,N,314,,PYN-N1-13-R1-018,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,N,314,,PYN-N1-13-R1-019,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,N,314,,PYN-N1-13-R1-020,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,N,314,,PYN-N1-13-R1-021,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,N,314,,PYN-N1-13-R1-022,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,N,314,,PYN-N1-13-R1-023,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,N,314,,PYN-N1-13-R1-024,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,N,314,,PYN-N1-13-R1-025,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,N,314,,PYN-N1-13-R1-026,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,N,314,,PYN-N1-13-R1-027,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,N,314,,PYN-N1-13-R1-028,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,N,314,,PYN-N1-13-R1-029,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,N,314,PYNN1004,PYN-N1-13-R1-030,,,yes,,,,,,,,yes,,PYNATBEN,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3132,N,314,PYNN1002,PYN-N1-13-R1-031,,,yes,,,,,,,,yes,,PYNATBEN,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3133,N,314,PYNN1003,PYN-N1-13-R1-032,,,yes,,,,,,,,yes,,PYNATBEN,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,N,314,PYNN1001,PYN-N1-13-R1-033,,,yes,,,no,,,,,yes,,PYNATBEN,,,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,O,315,,PYN-N2-13-R1-001,,,no,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,O,315,,PYN-N2-13-R1-002,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,O,315,,PYN-N2-13-R1-003,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138,O,315,,PYN-N2-13-R1-004,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,O,315,,PYN-N2-13-R1-005,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,O,315,,PYN-N2-13-R1-006,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,O,315,,PYN-N2-13-R1-007,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142,O,315,,PYN-N2-13-R1-008,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,O,315,,PYN-N2-13-R1-009,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,O,315,,PYN-N2-13-R1-010,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,O,315,,PYN-N2-13-R1-011,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3146,O,315,,PYN-N2-13-R1-012,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3147,O,315,PYNN2001,PYN-N2-13-R1-013,,,yes,,,no,,,,,yes,,PYNATBEN (?),,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3148,O,315,PYNN2002,PYN-N2-13-R1-014,,,yes,,,,,,,,yes,,PYNATBEN (?),,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,O,315,PYNN2003,PYN-N2-13-R1-015,,,yes,,,,,,,,yes,,PYNATBEN (?),,,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,O,315,PYNN2004,PYN-N2-13-R1-016,,,yes,,,,,,,,yes,,PYNATBEN (?),,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3151,O,315,PYNN2005,PYN-N2-13-R1-017,,,yes,,,no,,,,,yes,,PYNATBEN (?),,,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3152,P,316,,PYN-S1-13-R1-001,,,no,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3153,P,316,,PYN-S1-13-R1-002,,,no,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154,P,316,,PYN-S1-13-R1-003,,,no,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155,P,316,,PYN-S1-13-R1-004,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3156,P,316,,PYN-S1-13-R1-005,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3157,P,316,,PYN-S1-13-R1-006,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3158,P,316,,PYN-S1-13-R1-007,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3159,P,316,,PYN-S1-13-R1-008,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3160,P,316,,PYN-S1-13-R1-009,,,no,,,,,,,appear to be in PYN's WEST PATCH,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3161,P,316,PYNS1001,PYN-S1-13-R1-010,,,yes,,,NO,,,,,YES,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3162,P,316,PYNS1002,PYN-S1-13-R1-011,,,yes,,,NO,,,,,YES,,,,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3163,P,316,PYNS1003,PYN-S1-13-R1-012,,,yes,,,NO,,,,,YES,,,,,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3164,Q,317,,PYN-S2-13-R1-001,,,no,,,no,,,,appears to be in PYN West patch,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3165,Q,317,PYNS2001,PYN-S2-13-R1-002,,,yes,PYNS2001 (?),,no,,,,,yes,,PYNATBEN,,,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
