STEMNumAuto,PlantNum,Stem Length (cm),# of buds,# of flowers,Bloom Status,bite status by stem,Comments 7,Comments 8,Comments 9,Comments 10,Comments 11
1322,4480,63,0,133,7,no,,,,,
1323,4480,59,0,54,7,no,,,,,
1324,4480,59,0,0,0,no?,,,,,
1325,4481,39,20,0,1,no,,,,,
1326,4481,34,0,0,0,no,,,,,
1327,4481,24,0,0,0,no,,,,,
1328,4483,33,0,0,0,no,,,,,
1329,4485,73,0,210,6,no,,,,,
1330,4485,70,0,135,6,no,,,,,
1331,4485,48,0,0,0,?,,,,,
1332,4487,52,0,0,0,yes,,,,,
1333,4488,14,0,0,0,no,,,,,
1334,4488,13,0,0,0,yes?,,,,,
1335,4488,11,0,0,0,no,,,,,
1336,4489,58,0,26,7,no,,,,,
1337,4489,55,0,0,0,yes,,,,,
1338,4489,4,0,0,0,no,,,,,
1339,4490,69,0,305,5,no,,,,,
1340,4492,66,0,85,5,no,,,,,
1341,4492,65,0,43,5,no,,,,,
1342,4492,55,2,31,5,no,,,,,
1343,4493,55,0,15,7,no,,,,,
1344,4493,5,0,0,0,no,,,,,
1345,4493,46,,,,no,,,,,
1346,4497,?/54,?/0,?/120,4,no,,,,,
1347,4497,?/48,?/0,?/140,4,no,,,,,
1348,4497,,,,0,yes,,,,,
1349,4498,?/69,?/0,?/245,5/6,no,,,,,
1350,4498,?/42,?/0,?/85,5/7,no,,,,,
1351,4498,,,,0,yes,,,,,
1352,4499,?/62,?/0,?/185,5/8(2),no,,,,,
1353,4499,?/53,?/0,?/90,4/7,no,,,,,
1354,4499,?/45,?/0,?/120,4/6,no,,,,,
1355,4500,?/55,?/0,?/250,4/6,yes,,,,,
1356,4500,?/54,?/0,?/150,4/6,yes,,,,,
1357,4500,?/51,?/0,?/130,4/6,no,,,,,
1358,4501,?/27,?/0,?/0,0,no,,,,,
1359,4502,,,,5,no,,,,,
1360,4502,,,,5,no,,,,,
1361,4502,,,,5,no,,,,,
1362,4510,,,,,,accidental row,,,,
1363,4510,,,,,,accidental row,,,,
1364,4510,,,,,,accidental row,,,,
1365,4464,,,,,,no living stems from this year,,,,
1366,4509,57,0,120,7,no,,,,,
1367,4509,54,0,52,4,yes,,,,,
1368,4509,54,0,45,4,yes,,,,,
1369,4509,,,,,,accidental row,,,,
1370,4513,39,71,0,1,yes,,,,,
1371,4513,36,37,0,1,yes,,,,,
1372,4257,10,0,0,0,perhaps early,brown and withered,,,,
1373,4516,0,0,0,0,n.a.,could not find plant all year,,,,
1374,4517,?,0,0,0,yes,,,,,
1375,4517,?,0,0,0,prob not,,,,,
1376,4518,unk,81,0,1,no,,,,,
1377,4518,unk,0,0,0,no,,,,,
1378,4518,unk,0,0,0,yes,,,,,
1379,4519,unk,5,0,1,no,,,,,
1380,4520,unk,36,0,1,yes,2 axillary shoots,,,,
1381,4521,?,62,48,4,yes,,,,,
1382,4521,?,0,0,0,yes,,,,,
1383,4521,?,0,0,0,yes,,,,,
1384,4522,unk,117,0,1,no,,,,,
1385,4522,unk,147,0,1,no,,,,,
1386,4522,unk,157,0,1,no,,,,,
1387,4523,unk,30,32,4,no,,,,,
1388,4523,unk,70,0,1,no,,,,,
1389,4523,unk,10,0,1,yes,,,,,
1390,4524,unk,0,0,0,no,,,,,
1391,4524,unk,0,0,0,no,,,,,
1392,4524,accidental row,accidental row,accidental row,accidental row,accidental row,,,,,
1393,4525,unk,77,0,1,no,,,,,
1394,4525,unk,89,0,1,yes,,,,,
1395,4525,unk,55,5,3,no,,,,,
1396,4527,unk,14,0,1,yes,,,,,
1397,4527,unk,0,0,0,yes,,,,,
1398,4527,unk,0,0,0,no,,,,,
1399,4528,unk,93,194,4,yes,,,,,
1400,4528,unk,97,92,4,yes,,,,,
1401,4528,unk,31,97,4,yes,,,,,
1402,4529,unk,0,0,0,yes,,,,,
1403,4529,unk,0,0,0,yes,,,,,
1404,4529,unk,0,0,0,yes,,,,,
1405,4426,0,0,0,0,,"could not find this plant, thus 0 stems",,,,
1406,4532,,,,,,accidental row,,,,
1407,4530,unk,unk,0,1,unk,buds too small to count,,,,
1408,4530,unk,unk,0,1,unk,buds too small to count,,,,
1409,4530,unk,unk,0,1,unk,buds too small to count,,,,
1410,4531,39,140,0,1,unk,,,,,
1411,4531,36,140,0,1,unk,,,,,
1412,4531,36,80,0,1,unk,,,,,
1413,4533,unk,29,57,4,no,,,,,
1414,4533,unk,28,73,4,no,,,,,
1415,4533,unk,30,69,4,no,,,,,
1416,4534,unk,57,0,1,no,,,,,
1417,4534,unk,83,17,2,no,,,,,
1418,4534,unk,77,56,4,no,,,,,
1419,4535,unk,78,35,3,yes,,,,,
1420,4535,accidental row,,,,,accidental row,,,,
1421,4536,unk,86,0,1,no,,,,,
1422,4536,unk,167,0,1,yes,,,,,
1423,4536,unk,54,0,1,no,,,,,
1424,4537,unk,0,0,0,yes,,,,,
1425,4538,unk,69,17,4,no,,,,,
1426,4538,unk,120,3,4,no,,,,,
1427,4538,unk,56,6,4,no,,,,,
1428,4539,unk,45,0,1,no,,,,,
1429,4539,unk,63,0,1,no,,,,,
1430,4539,unk,30,0,1,no,,,,,
1431,4539,accidental row,,,,accidental row,accidental row,,,,
1432,4539,accidental row,,,,,accidental row,,,,
1433,4541,unk,40,0,1,yes,,,,,
1434,4540,unk,54,105,4,yes,,,,,
1435,4540,unk,91,80,4,yes,,,,,
1436,4540,unk,59,5,2,no,,,,,
1437,4436,0,0,0,0,n.a.,COULD NOT FIND PLANT,,,,
