PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,Name from 2012,Trimb in 2012?,2012 Trimb Pt name,2013 Plant ID Code,Trimbled in 2013?,Visited PREV in 2013?,Code for prev 2013 visit,Visited again in 2013?,Code for later visit,New 2013 ID in Trimble,Comments2,Seen during Dist?,Position,Distance,Direction,StemsBUD,StemsFLOWER,StemsDONE,StemsNOflowers,BloomStatusDist,On Trimble?,Which Trimble?,FileName?,Northing,Easting,TRIMBStemsBUD,TRIMBStemsFLOW,TRIMBStemsDONE,TRIMBStemsNOflow,Comments 3,Photo Exposure,Comments3b,SCValid Bud,SCValid Flor,SCValid Done,SCValid None,SCValid Bloom Status,Comments SCValid
3028,G,307,,,,,PYS-W1-13-R1-006,,,,n,,,,Yes,15,24,West,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3029,G,307,,,,,PYS-W1-13-R1-007,,,,n,,,,Yes,16,24,West,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3030,G,307,,,,,PYS-W1-13-R1-008,,,,n,,,,Yes,16,24,West,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3031,G,307,none (new in 2013),,no,,PYS-W1-13-R1-009,y,,,n,,??,,Yes,14,32,West,0,2,0,0,early full,,EEOB?,??,,,0,2,0,0,,,,,,,,,
3032,G,307,,,,,PYS-W1-13-R1-010,,,,n,,,,Yes,22,10,West,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3033,G,307,PYSW1003,,YES,003,PYS-W1-13-R1-011,y,,,n,,,,Yes,23,8,West,0,9,0,0,full,Yes,EEOB,PYSW1AT,,,0,9,0,0,crab spider on this plant,,,,,,,,
3034,G,307,,,,,PYS-W1-13-R1-012,,,,n,,,all 3 stems run over by truck,Yes,28,7,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3035,G,307,,,,,PYS-W1-13-R1-013,,,,n,,,2 stems in bud,Yes,35,35,West,2,3,0,0,early full,,,,,,,,,,,,,,,,,,
3036,G,307,,,,,PYS-W1-13-R1-014,,,,n,,,,Yes,SW of turn,26,West,0,5,0,0,early full,,,,,,,,,,,,,,,,,,
3037,G,307,,,,,PYS-W1-13-R1-015,,,,n,,,,Yes,41,15,South,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3038,G,307,,,,,PYS-W1-13-R1-016,,,,n,,,,Yes,42,14,South,0,7,0,0,early full,,,,,,,,,,,,,,,,,,
3039,G,307,,,,,PYS-W1-13-R1-017,,,,n,,,,Yes,42,14,South,0,7,0,0,early full,,,,,,,,,,,,,,,,,,
3040,G,307,,,,,PYS-W1-13-R1-018,,,,n,,,,Yes,43,14,South,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3052,G,307,,,,,PYS-W1-13-R1-019,,,,n,,,great spangled fritillary nectaring,Yes,46,16,South,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3053,G,307,,,,,PYS-W1-13-R1-020,,,,n,,,,Yes,50,89,North,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3054,G,307,,,,,PYS-W1-13-R1-021,,,,n,,,,Yes,56,13,South,1,7,0,0,early full,,,,,,,,,,,,,,,,,,
3055,G,307,,,,,PYS-W1-13-R1-022,,,,n,,,,Yes,70,79,South,0,5,0,0,early full,,,,,,,,,,,,,,,,,,
3056,G,307,,,,,PYS-W1-13-R1-023,,,,n,,,,Yes,61,11,South,0,5,0,0,full,,,,,,,,,,,,,,,,,,
3057,G,307,,,,,PYS-W1-13-R1-024,,,,n,,,,Yes,75,70,North,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3058,G,307,,,,,PYS-W1-13-R1-025,,,,n,,,,Yes,75,70,North,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3059,G,307,,,,,PYS-W1-13-R1-026,,,,n,,,,Yes,80,90,North,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3060,G,307,,,,,PYS-W1-13-R1-027,,,,n,,,,Yes,85,95,North,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3061,G,307,,,,,PYS-W1-13-R1-028,,,,n,,,,Yes,85,79,North,0,4,0,0,early full,,,,,,,,,,,,,,,,,,
3062,G,307,,012,yes,012,PYS-W1-13-R1-029,y,,,n,,,,Yes,97,14,South,0,7,0,0,full,Yes,EEOB,PYSW1AT,,,0,8,0,0,,,,,,,,,
3063,H,308,PYWS1002,,yes,S1002,PYW-S1-13-R1-001,yes,n,,y,PYW-S1-13-R2-005,,,No,,,,0,,,,,Yes,EEOB,PYWATBEN,,,1,0,0,0,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,
3064,H,308,PYWS1001,,yes,PYWS1001 (?),PYW-S1-13-R1-002,yes,n,,y,PYW-S1-13-R2-001,,,No,,,,0,,,,,,EEOB,PYWATBEN,,,1,0,0,0,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,
3065,I,309,n.a.,,no,n.a.,PYW-S2-13-R1-001,yes,no,,no,,???,,Yes,4,35,East,0,1,0,0,full,Yes,EEOB,at2013PYW,,,0,1,0,0,not trimbled in 2012,,,,,,,,
3066,I,309,n.a.,,no,,PYW-S2-13-R1-002,no,no,,no,,,,Yes,80,31,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3067,I,309,n.a.,,no,,PYW-S2-13-R1-003,no,no,,no,,,,Yes,80,21,East,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3068,I,309,n.a.,,no,,PYW-S2-13-R1-004,no,no,,no,,,,Yes,84,32,West,0,1,0,0,early,,,,,,,,,,,,,,,,,,
3069,I,309,n.a.,,no,,PYW-S2-13-R1-005,no,no,,no,,,,Yes,85,37,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3070,I,309,n.a.,,no,,PYW-S2-13-R1-006,no,no,,no,,,,Yes,85,34,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3071,I,309,n.a.,,no,,PYW-S2-13-R1-007,no,no,,no,,,,Yes,86,35,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3072,I,309,PYWS2007,,YES,I,PYW-S2-13-R1-008,YES,no,,no,,,great spangled visiting,Yes,85,1,East,0,8,0,0,full,Yes,PBG#3,PYWS2AT,,,0,9,0,1,"1 stem bitten off 4"" from ground, with no resprouts",359 (whole plant),Photos from 2012 are exp. 136-137,,,,,,
3073,I,309,n.a.,,no,,PYW-S2-13-R1-009,NO,no,,no,,,,Yes,92,19,East,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3074,I,309,PYWS2002,,YES,F,PYW-S2-13-R1-010,YES,no,n.a.,yes,PYW-S2-13-R2-001,,pearl crescent visiting,Yes,100,12,East,0,1,0,0,full,Yes,??,PYWS2AT,,,2,1,0,1,plant injured by large ungulate,,,,,,,,
3075,I,309,PYWS2014,,YES,G,PYW-S2-13-R1-011,YES,no,,no,,,pearl crescent visiting,Yes,100,19,East,0,6,0,0,early full,Yes,??,PYWS2AT,,,2,7,0,0,,,,,,,,,
3076,I,309,n.a.,,NO,,PYW-S2-13-R1-012,YES,no,,no,,??,,Yes,89,70,East,0,1,0,0,full,Yes,EEOB,at2013PYW,,,0,1,0,0,,,don't know if plant was trimbled in 2012,,,,,,
3077,I,309,n.a.,,NO,,PYW-S2-13-R1-013,YES,no,,no,,??,,Yes,86,24,East,0,3,0,0,early full,Yes,EEOB,at2013PYW,,,0,2,0,0,,,don't know if plant was trimbled in 2012,,,,,,
3078,I,309,n.a.,,NO,,PYW-S2-13-R1-014,NO,no,,no,,,,Yes,76,20,East,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3079,I,309,n.a.,,NO,,PYW-S2-13-R1-015,NO,no,,no,,,,Yes,91,135,East,0,6,0,0,full,,,,,,,,,,,,,,,,,,
3080,I,309,PYWS2010,,YES,E,PYW-S2-13-R1-016,YES,no,,no,,,,No,na,na,,,,,,,Yes,PBG#3,PYWS2AT,,,2,3,0,0,took photos of Edwards hairstreak nectaring on this plant;,???," found 1 monarch egg and 2 milkweed bugs on this plant, and 1 nectaring pearl crescent",,,,,,
3081,J,310,,,no,,PYS-W2-13-R1-001,yes,no,,no,,??,,Yes,16,4,West,0,3,0,0,full,,EEOB,at2013PYS (?),,,0,1,0,0,,,,,,,,,
3082,J,310,PYSW2001,,yes,,PYS-W2-13-R1-002,yes,no,,no,,,some stems knocked over by large ungulate,Yes,33,19,East,0,5,0,0,full,,,,,,0,9,0,0,,,,,,,,,
3083,J,310,,,no,,PYS-W2-13-R1-003,no,no,,no,,no,,Yes,80,147,East,0,5,0,0,full,,,,,,,,,,,,,,,,,,
3084,J,310,PYSW2003 (?) (probably),,yes (probably),,PYS-W2-13-R1-004**,yes,no,,no,,??,**PLANT ACTUALLY LOCATED IN PYLAND WEST's South Patch!! (we saw it across the fence);,Yes,67,22,West,0,4,0,0,full,,,,,,0,5,0,0," nectared on by 1 regal fritillary, 1 Edward's hairstreak and 2 pearl crescents",,,,,,,,
3085,J,310,,,no,,PYS-W2-13-R1-005,yes,no,,no,,??,,Yes,92,62,East,0,3,0,0,,,,,,,0,3,0,0,,,,,,,,,
3086,J,310,,PYSW2002,yes,,PYS-W2-13-R1-006***,yes,no,,no,,,"***This plant actually located in SOUTH patch of Pyland South, though very close to PYS West patch; ~30 flowers/buds had been bitten off by caterpillar",No,,,,0,,,,,,EEOB?,at2013PYS (?),,,2,1,0,0,,,,,,,,,
3087,K,311,PYSS1001,PYSS1001,yes,??,PYS-S1-13-R1-001,yes,no,,no,,,,,41,17,East,0,1,0,0,early full,Yes,PBG#3,PYSATBEN,,,0,1,0,1,,,,,,,,,
3090,L,312,PYSS2003,PYSS2003,yes,?,PYS-S2-13-R1-001,yes,n,,n,,,buds are red,Yes,90,1,South,3,0,0,0,in bud,Yes,,??,,,2,1,0,0,,,,,,,,,
3091,L,312,PYSS2001,PYSS2001,yes,?,PYS-S2-13-R1-002,yes,n,,n,,,"signs of herbivory; only 5 buds remain, rest have been eaten, probably by insect",,,,,,,,,,Yes,,?,,,1,0,0,0,,,,,,,,,
3092,L,312,PYSS2002,PYSS2002,yes,?,PYS-S2-13-R1-003,yes,n,,n,,,,,,,,,,,,,Yes,,?,,,0,5,0,0,,,,,,,,,
3093,M,313,PYSS3-103,003,yes,103 (?),PYS-S3-13-R1-001,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,1,0,0,,,,,,,,,
3094,M,313,PYSS3-104,004,yes,104 (?),PYS-S3-13-R1-002,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,1,0,1,,,,,,,,,
3095,M,313,PYSS3-106,006,yes,106  (?),PYS-S3-13-R1-003,yes,n,,?? Perhaps,,,"too early, but about 80 buds",No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,1,0,0,0,,,,,,,,,
3096,M,313,PYSS3-107,007,yes,107  (?),PYS-S3-13-R1-004,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,0,0,1,,,,,,,,,
3097,M,313,PYSS3-108,008,yes,108  (?),PYS-S3-13-R1-005,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,0,0,1,,,,,,,,,
3098,M,313,PYSS3-109,009,yes,109 (?),PYS-S3-13-R1-006,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,1,0,0,,,,,,,,,
3099,M,313,PYSS3-110,010,yes,110 (?),PYS-S3-13-R1-007,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,0,0,0,3,"stems are extremely short, new and tender; don't know why they aren't more developed. Found 2 dead stems from last year.",,,,,,,,
3100,M,313,PYSS3-111,011,yes,111 (?),PYS-S3-13-R1-008,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,4,0,0,0,Still very early for counting buds; approx. bud counts given.,,,,,,,,
3101,M,313,PYSS3-112,012,yes,112 (?),PYS-S3-13-R1-009,yes,n,,n,,,,No,,,,0,,,,,Yes,,ATPYSSOPATCHLATE,,,1,3,0,0,Monarch caterpillar on this plant.,,,,,,,,
3102,N,314,,,no,,PYN-N1-13-R1-001,no,no,,,,,,Yes,0,23,West,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3103,N,314,,,no,,PYN-N1-13-R1-002,no,,,,,,,Yes,0,55,West,0,9,0,0,early full,,,,,,,,,,,,,,,,,,
3104,N,314,,,no,,PYN-N1-13-R1-003,no,,,,,,,Yes,1,55,West,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3105,N,314,,,no,,PYN-N1-13-R1-004,no,,,,,,,Yes,2,56,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3106,N,314,,,no,,PYN-N1-13-R1-005,no,,,,,,,Yes,3,57,West,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3107,N,314,,,no,,PYN-N1-13-R1-006,no,,,,,,,Yes,3,21,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3108,N,314,,,no,,PYN-N1-13-R1-007,no,,,,,,,Yes,3,22,West,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3109,N,314,,,no,,PYN-N1-13-R1-008,no,no,,,,,,Yes,4,40,West,0,7,0,0,early full,,,,,,,,,,,,,,,,,,
3110,N,314,,,no,,PYN-N1-13-R1-009,no,,,,,,,Yes,8,48,West,0,6,0,0,early full,,,,,,,,,,,,,,,,,,
3111,N,314,,,no,,PYN-N1-13-R1-010,no,,,,,,,Yes,8,46,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3112,N,314,,,no,,PYN-N1-13-R1-011,no,,,,,,,Yes,10,20,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3113,N,314,,,no,,PYN-N1-13-R1-012,no,,,,,,,Yes,11,52,West,0,6,0,0,full,,,,,,,,,,,,,,,,,,
3114,N,314,,,no,,PYN-N1-13-R1-013,no,,,,,,,Yes,12,53,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3115,N,314,,,no,,PYN-N1-13-R1-014,no,,,,,,,Yes,10,20,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3116,N,314,,,no,,PYN-N1-13-R1-015,no,,,,,,,Yes,13,10,East,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3117,N,314,,,no,,PYN-N1-13-R1-016,no,,,,,,,Yes,12,54,West,0,5,0,0,full,,,,,,,,,,,,,,,,,,
3118,N,314,,,no,,PYN-N1-13-R1-017,no,,,,,,,Yes,13,54,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3119,N,314,,,no,,PYN-N1-13-R1-018,no,,,,,,,Yes,17,16,West,0,7,0,0,full,,,,,,,,,,,,,,,,,,
3120,N,314,,,no,,PYN-N1-13-R1-019,no,,,,,,,Yes,18,16,West,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3121,N,314,,,no,,PYN-N1-13-R1-020,no,,,,,,,Yes,21,12,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3122,N,314,,,no,,PYN-N1-13-R1-021,no,,,,,,,Yes,26,28,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3123,N,314,,,no,,PYN-N1-13-R1-022,no,,,,,,,Yes,29,14,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3124,N,314,,,no,,PYN-N1-13-R1-023,no,,,,,,,Yes,29,35,West,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3125,N,314,,,no,,PYN-N1-13-R1-024,no,,,,,,,Yes,30,35,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3126,N,314,,,no,,PYN-N1-13-R1-025,no,,,,,,,Yes,33,71,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3127,N,314,,,no,,PYN-N1-13-R1-026,no,,,,,,,Yes,35,76,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3128,N,314,,,no,,PYN-N1-13-R1-027,no,,,,,,,Yes,43,83,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3129,N,314,,,no,,PYN-N1-13-R1-028,no,,,,,,,Yes,45,72,West,0,5,0,0,full,,,,,,,,,,,,,,,,,,
3130,N,314,,,no,,PYN-N1-13-R1-029,no,,,,,,,Yes,74,7,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3131,N,314,,PYNN1004,yes,,PYN-N1-13-R1-030,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN,,,0,2,0,0,,,,,,,,,
3132,N,314,,PYNN1002,yes,,PYN-N1-13-R1-031,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN,,,0,1,0,0,,,,,,,,,
3133,N,314,,PYNN1003,yes,,PYN-N1-13-R1-032,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN,,,0,1,0,1,,,,,,,,,
3134,N,314,,PYNN1001,yes,,PYN-N1-13-R1-033,yes,no,,,,,,No,,,,0,,,,,Yes,,PYNATBEN,,,0,7,0,0,,,,,,,,,
3135,O,315,,,no,,PYN-N2-13-R1-001,no,no,,,,,,Yes,1,69,East,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3136,O,315,,,no,,PYN-N2-13-R1-002,no,,,,,,,Yes,0,67,East,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3137,O,315,,,no,,PYN-N2-13-R1-003,no,,,,,,,Yes,23,20,West,0,2,0,0,full,,,,,,,,,,,,,,,,,,
3138,O,315,,,no,,PYN-N2-13-R1-004,no,,,,,,,Yes,27,5,West,0,3,0,0,early full,,,,,,,,,,,,,,,,,,
3139,O,315,,,no,,PYN-N2-13-R1-005,no,,,,,,,Yes,28,1,East,1,1,0,0,early,,,,,,,,,,,,,,,,,,
3140,O,315,,,no,,PYN-N2-13-R1-006,no,,,,,,,Yes,39,28,West,0,2,0,0,early full,,,,,,,,,,,,,,,,,,
3141,O,315,,,no,,PYN-N2-13-R1-007,no,,,,,,,Yes,49,70,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3142,O,315,,,no,,PYN-N2-13-R1-008,no,,,,,,,Yes,54,62,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3143,O,315,,,no,,PYN-N2-13-R1-009,no,,,,,,,Yes,55,58,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3144,O,315,,,no,,PYN-N2-13-R1-010,no,,,,,,,Yes,56,64,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3145,O,315,,,no,,PYN-N2-13-R1-011,no,,,,,,,Yes,59,56,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3146,O,315,,,no,,PYN-N2-13-R1-012,no,,,,,,,Yes,63,54,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3147,O,315,PYNN2001,PYNN2001,yes,,PYN-N2-13-R1-013,yes,no,,,,,,No,,,,0,,,,,Yes,,PYNATBEN (?),,,0,3,0,0,,,,,,,,,
3148,O,315,PYNN2002,PYNN2002,yes,,PYN-N2-13-R1-014,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN (?),,,0,1,0,0,,,,,,,,,
3149,O,315,PYNN2003,PYNN2003,yes,,PYN-N2-13-R1-015,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN (?),,,0,5,0,0,,,,,,,,,
3150,O,315,PYNN2004,PYNN2004,yes,,PYN-N2-13-R1-016,yes,,,,,,,No,,,,0,,,,,Yes,,PYNATBEN (?),,,0,1,0,0,,,,,,,,,
3151,O,315,PYNN2005,PYNN2005,yes,,PYN-N2-13-R1-017,yes,no,,,,,,No,,,,0,,,,,Yes,,PYNATBEN (?),,,0,4,0,0,,,,,,,,,
3152,P,316,,,no,,PYN-S1-13-R1-001,no,,,,,,,Yes,27,69,West,0,4,0,0,early full,,,,,,,,,,,,,,,,,,
3153,P,316,,,no,,PYN-S1-13-R1-002,NO,,,,,,,Yes,50,63,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3154,P,316,,,no,,PYN-S1-13-R1-003,NO,,,,,,,Yes,51,62,West,0,11,0,0,full,,,,,,,,,,,,,,,,,,
3155,P,316,,,no,,PYN-S1-13-R1-004,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,86,140,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3156,P,316,,,no,,PYN-S1-13-R1-005,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,87,145,West,0,3,0,0,full,,,,,,,,,,,,,,,,,,
3157,P,316,,,no,,PYN-S1-13-R1-006,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,94,165,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3158,P,316,,,no,,PYN-S1-13-R1-007,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,94,185,West,0,5,0,0,full,,,,,,,,,,,,,,,,,,
3159,P,316,,,no,,PYN-S1-13-R1-008,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,94,195,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3160,P,316,,,no,,PYN-S1-13-R1-009,NO,,,,,,appear to be in PYN's WEST PATCH,Yes,84,190,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3161,P,316,PYNS1001,PYNS1001,yes,,PYN-S1-13-R1-010,YES,NO,,,,,,No,,,,0,,,,,Yes,,,,,0,0,0,1,,,,,,,,,
3162,P,316,PYNS1002,PYNS1002,yes,,PYN-S1-13-R1-011,YES,NO,,,,,,No,,,,0,,,,,Yes,,,,,0,3,0,0,,,,,,,,,
3163,P,316,PYNS1003,PYNS1003,yes,,PYN-S1-13-R1-012,YES,NO,,,,,,No,,,,0,,,,,Yes,,,,,0,5,0,0,,,,,,,,,
