Year,Pasture,Patch,Pasture.Patch,Pasture.Patch.Year,FireTreat,TSF,Management.Method,HerbExp.14.18,HerbTreat.14.18,Stocking.Type
2012,RIN,S,RIN-S,RIN-S-2012,FB,0,BO,No,None,None
2013,RIN,S,RIN-S,RIN-S-2013,FB,1,BO,No,None,None
2014,RIN,S,RIN-S,RIN-S-2014,FB,2,BO,No,None,None
2015,RIN,S,RIN-S,RIN-S-2015,FB,3,BO,No,None,None
2016,RIN,S,RIN-S,RIN-S-2016,FB,4,BO,No,None,None
2012,RIN,W,RIN-W,RIN-W-2012,FB,0,BO,No,None,None
2013,RIN,W,RIN-W,RIN-W-2013,FB,1,BO,No,None,None
2014,RIN,W,RIN-W,RIN-W-2014,FB,2,BO,No,None,None
2015,RIN,W,RIN-W,RIN-W-2015,FB,3,BO,No,None,None
2016,RIN,W,RIN-W,RIN-W-2016,FB,4,BO,No,None,None
2012,RCH,C,RCH-C,RCH-C-2012,FB,0,BO,No,None,SLS
2013,RCH,C,RCH-C,RCH-C-2013,FB,1,BO,No,None,SLS
2012,RCH,N,RCH-N,RCH-N-2012,FB,0,BO,No,None,SLS
2013,RCH,N,RCH-N,RCH-N-2013,FB,1,BO,No,None,SLS
2012,RCH,E,RCH-E,RCH-E-2012,FB,0,BO,No,None,SLS
2013,RCH,E,RCH-E,RCH-E-2013,FB,1,BO,No,None,SLS
2012,RCH,S,RCH-S,RCH-S-2012,FB,0,BO,No,None,SLS
2013,RCH,S,RCH-S,RCH-S-2013,FB,1,BO,No,None,SLS
2012,RCH,W,RCH-W,RCH-W-2012,FB,0,BO,No,None,SLS
2013,RCH,W,RCH-W,RCH-W-2013,FB,1,BO,No,None,SLS
2012,GIL,C,GIL-C,GIL-C-2012,FB,0,GB,No,None,SLS
2013,GIL,C,GIL-C,GIL-C-2013,FB,1,GB,No,None,SLS
2012,GIL,N,GIL-N,GIL-N-2012,FB,0,GB,No,None,SLS
2013,GIL,N,GIL-N,GIL-N-2013,FB,1,GB,No,None,SLS
2012,GIL,S,GIL-S,GIL-S-2012,FB,0,GB,No,None,SLS
2013,GIL,S,GIL-S,GIL-S-2013,FB,1,GB,No,None,SLS
2012,LTR,C,LTR-C,LTR-C-2012,FB,0,GB,No,None,SLS
2013,LTR,C,LTR-C,LTR-C-2013,FB,1,GB,No,None,SLS
2012,LTR,E,LTR-E,LTR-E-2012,FB,0,GB,No,None,SLS
2013,LTR,E,LTR-E,LTR-E-2013,FB,1,GB,No,None,SLS
2012,LTR,W,LTR-W,LTR-W-2012,FB,0,GB,No,None,SLS
2013,LTR,W,LTR-W,LTR-W-2013,FB,1,GB,No,None,SLS
2012,PYW,C,PYW-C,PYW-C-2012,FB,0,GB,No,None,SLS
2013,PYW,C,PYW-C,PYW-C-2013,FB,1,GB,No,None,SLS
2014,PYW,C,PYW-C,PYW-C-2014,FB,2,GB,IC,None,SLS
2015,PYW,C,PYW-C,PYW-C-2015,FB,0,GB,IC,Spr,SLS
2016,PYW,C,PYW-C,PYW-C-2016,FB,1,GB,IC,Spr,SLS
2012,PYW,N,PYW-N,PYW-N-2012,FB,0,GB,No,None,SLS
2013,PYW,N,PYW-N,PYW-N-2013,FB,1,GB,No,None,SLS
2014,PYW,N,PYW-N,PYW-N-2014,FB,2,GB,IC,None,SLS
2015,PYW,N,PYW-N,PYW-N-2015,FB,0,GB,IC,SnS,SLS
2016,PYW,N,PYW-N,PYW-N-2016,FB,1,GB,IC,SnS,SLS
2012,PYW,S,PYW-S,PYW-S-2012,FB,0,GB,No,None,SLS
2013,PYW,S,PYW-S,PYW-S-2013,FB,1,GB,No,None,SLS
2014,PYW,S,PYW-S,PYW-S-2014,FB,2,GB,IC,None,SLS
2015,PYW,S,PYW-S,PYW-S-2015,FB,0,GB,IC,Con,SLS
2016,PYW,S,PYW-S,PYW-S-2016,FB,1,GB,IC,Con,SLS
2012,PYN,N,PYN-N,PYN-N-2012,PB,2,PBG,No,None,SLS
2013,PYN,N,PYN-N,PYN-N-2013,PB,0,PBG,No,None,SLS
2012,PYN,S,PYN-S,PYN-S-2012,PB,0,PBG,No,None,SLS
2013,PYN,S,PYN-S,PYN-S-2013,PB,1,PBG,No,None,SLS
2012,PYN,W,PYN-W,PYN-W-2012,PB,1,PBG,No,None,SLS
2013,PYN,W,PYN-W,PYN-W-2013,PB,2,PBG,No,None,SLS
2012,PYS,N,PYS-N,PYS-N-2012,PB,0,PBG,No,None,SLS
2013,PYS,N,PYS-N,PYS-N-2013,PB,1,PBG,No,None,SLS
2014,PYS,N,PYS-N,PYS-N-2014,PB,2,PBG,No,None,SLS
2015,PYS,N,PYS-N,PYS-N-2015,PB,0,PBG,No,None,SLS
2016,PYS,N,PYS-N,PYS-N-2016,PB,1,PBG,No,None,SLS
2012,PYS,S,PYS-S,PYS-S-2012,PB,1,PBG,No,None,SLS
2013,PYS,S,PYS-S,PYS-S-2013,PB,2,PBG,No,None,SLS
2014,PYS,S,PYS-S,PYS-S-2014,PB,0,PBG,No,None,SLS
2015,PYS,S,PYS-S,PYS-S-2015,PB,1,PBG,No,None,SLS
2016,PYS,S,PYS-S,PYS-S-2016,PB,2,PBG,No,None,SLS
2012,PYS,W,PYS-W,PYS-W-2012,PB,2,PBG,No,None,SLS
2013,PYS,W,PYS-W,PYS-W-2013,PB,0,PBG,No,None,SLS
2014,PYS,W,PYS-W,PYS-W-2014,PB,1,PBG,No,None,SLS
2015,PYS,W,PYS-W,PYS-W-2015,PB,2,PBG,No,None,SLS
2016,PYS,W,PYS-W,PYS-W-2016,PB,0,PBG,No,None,SLS
2014,RCH,C,RCH-C,RCH-C-2014,PB,2,PBG,IC,None,SLS
2015,RCH,C,RCH-C,RCH-C-2015,PB,0,PBG,IC,Con,SLS
2016,RCH,C,RCH-C,RCH-C-2016,PB,1,PBG,IC,SnS,SLS
2014,RCH,N,RCH-N,RCH-N-2014,PB,2,PBG,IC,None,SLS
2015,RCH,N,RCH-N,RCH-N-2015,PB,0,PBG,IC,Con,SLS
2016,RCH,N,RCH-N,RCH-N-2016,PB,1,PBG,IC,SnS,SLS
2014,RCH,E,RCH-E,RCH-E-2014,PB,2,PBG,IC,None,SLS
2015,RCH,E,RCH-E,RCH-E-2015,PB,3,PBG,IC,Con,SLS
2016,RCH,E,RCH-E,RCH-E-2016,PB,0,PBG,IC,Con,SLS
2014,RCH,S,RCH-S,RCH-S-2014,PB,0,PBG,IC,None,SLS
2015,RCH,S,RCH-S,RCH-S-2015,PB,1,PBG,IC,SnS,SLS
2016,RCH,S,RCH-S,RCH-S-2016,PB,2,PBG,IC,SnS,SLS
2014,RCH,W,RCH-W,RCH-W-2014,PB,0,PBG,IC,None,SLS
2015,RCH,W,RCH-W,RCH-W-2015,PB,1,PBG,IC,SnS,SLS
2016,RCH,W,RCH-W,RCH-W-2016,PB,2,PBG,IC,SnS,SLS
2012,RIS,C,RIS-C,RIS-C-2012,PB,0,PBG,No,None,SLS
2013,RIS,C,RIS-C,RIS-C-2013,PB,1,PBG,No,None,SLS
2014,RIS,C,RIS-C,RIS-C-2014,PB,2,PBG,No,None,SLS
2015,RIS,C,RIS-C,RIS-C-2015,PB,0,PBG,No,None,SLS
2016,RIS,C,RIS-C,RIS-C-2016,PB,1,PBG,No,None,SLS
2012,RIS,N,RIS-N,RIS-N-2012,PB,1,PBG,No,None,SLS
2013,RIS,N,RIS-N,RIS-N-2013,PB,2,PBG,No,None,SLS
2014,RIS,N,RIS-N,RIS-N-2014,PB,0,PBG,No,None,SLS
2015,RIS,N,RIS-N,RIS-N-2015,PB,1,PBG,No,None,SLS
2016,RIS,N,RIS-N,RIS-N-2016,PB,2,PBG,No,None,SLS
2012,RIS,S,RIS-S,RIS-S-2012,PB,2,PBG,No,None,SLS
2013,RIS,S,RIS-S,RIS-S-2013,PB,0,PBG,No,None,SLS
2014,RIS,S,RIS-S,RIS-S-2014,PB,1,PBG,No,None,SLS
2015,RIS,S,RIS-S,RIS-S-2015,PB,2,PBG,No,None,SLS
2016,RIS,S,RIS-S,RIS-S-2016,PB,0,PBG,No,None,SLS
